Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
UGC02905,,59.2524999,16.5244444,5.83,12.17,15.76,1.0,0.6,292,62,10,Ir,,0.0
UGC02684,,50.09874995,17.29499998,6.49,13.46,16.29,1.95,0.5,350,72,10,Ir,,0.0
UGC02716,,51.02999994,17.75416663,6.4,11.5,14.64,1.58,0.56,381,57,8," ",,0.0
Segue 2,,34.8166666,20.17527776,0.03,11.36,16.2,5.4,0.85,-39,39,-3,Sph,,0.0
UGC1561,,31.0208333,24.20777775,7.2,11.83,14.51,2.34,0.86,606,34,9,BCD,,0.0
NGC0855,,33.5154166,27.8772222,9.73,9.83,13.3,3.09,0.38,591,85,0,dS0em,,0.0
NGC1156,,44.9266666,25.23749997,7.8,9.55,12.32,3.31,0.85,373,32,8," ",,0.0
LV J0300+2546,,45.1637499,25.7822222,7.8,14.5,18.1,0.35,0.87,308,33,10,Ir,,0.0
AGC122226,,41.6620833,27.72638884,8.56,14.25,17.08,0.85,0.55,472,67,9,BCD,,0.0
DDO025,,38.3258333,33.4911111,9.3,10.98,13.96,2.57,0.92,604,23,8," ",,0.0
KKH18,,45.77458325,33.6944444,4.43,13.56,16.7,0.71,0.57,216,65,10,Ir,,0.0
UGC02773,,53.0295833,47.79361105,5.4,9.77,15.0,1.2,0.75,216,47,9,Im,,0.0
UGCA105,,78.5629165,62.58083324,3.15,8.2,12.14,5.5,0.64,113,51,8," ",,0.0
KK13,,25.56999997,26.36777775,7.2,13.86,16.57,0.71,0.57,357,65,10,Ir,,0.0
And XXII,,21.91666664,28.09027775,0.79,14.4,18.8,1.4,0.44,-127,90,-3,Sph,,0.0
KK16,,28.8358333,27.95416662,5.47,13.68,16.3,1.32,0.37,207,90,10,Ir,,0.0
KK15,,26.6733333,26.80138884,7.2,15.54,18.22,0.59,0.33,366,90,10,Ir,,0.0
IC1727,,26.87541663,27.33111106,7.2,8.97,12.07,6.92,0.36,336,70,8," ",,0.0
NGC0672,,26.97166664,27.4336111,7.2,8.51,11.31,7.24,0.36,429,71,6," ",,0.0
KK14,,26.17791665,27.28777773,7.2,14.84,17.47,0.79,0.37,420,90,10,Ir,,0.0
NGC0784,,30.31999997,28.8436111,4.97,10.29,12.22,6.61,0.23,193,79,8," ",,0.0
KK17,,30.04124994,28.83249996,4.9,14.24,17.2,1.0,0.5,168,72,10,Ir,,0.0
AGC112521,,25.2829166,27.32388884,6.52,15.2,17.8,0.6,0.55,274,67,10,Ir,,0.0
Triangulum spiral,M33,1.565,30.65,3.0,4.1,6.27,69.18,0.61,-182,54,5," ",M33.png,30000.0
UGC01281,,27.38458328,32.59249994,4.94,10.5,12.87,5.62,0.18,157,85,7," ",,0.0
And XIV,,12.89583332,29.6969444,0.73,12.56,16.9,2.7,0.68,-481,60,-3,Sph,,0.0
And XVI,,14.87416664,32.37666665,0.52,11.33,15.7,1.78,0.9,-385,31,-3,Sph,,0.0
And II,,19.12416664,33.4191666,0.65,10.75,15.1,2.82,0.8,-194,45,-3,Sph,,0.0
NGC0404,,17.3620833,35.71749994,3.05,7.53,11.21,3.47,0.95,-50,20,-1,S0em,,0.0
And XXIII,,22.3408333,38.71888884,0.73,10.74,15.1,7.3,0.6,-243,71,-3,Sph,,0.0
UGC01703,,33.23249995,32.81416665,4.19,12.52,17.0,0.79,0.55,,72,-2,Tr,,0.0
d0226+3325,,36.7199999,33.4269444,9.3,14.86,17.5,1.66,0.92,520,26,10,Ir,,0.0
NGC0925,,36.8166666,33.5780555,9.29,7.87,10.58,11.75,0.56,553,57,7," ",,0.0
Halogas,,36.8333333,33.9583333,9.3,15.35,18.0,0.43,0.75,528,47,10,Ir,,0.0
DDO019,,36.25083325,36.0377777,9.3,13.14,15.8,2.14,0.76,577,46,10,Ir,,0.0
DDO022,,38.22499994,38.6805555,9.3,13.11,15.65,1.74,0.31,570,90,10,Ir,,0.0
DDO024,,38.4291666,40.5280555,9.8,10.86,13.68,2.62,0.81,581,36,8," ",,0.0
NGC0891,,35.6366666,42.34666664,9.77,5.94,10.71,13.18,0.29,526,82,3," ",,0.0
UGC02172,,40.54499995,43.3552777,9.3,12.37,14.6,1.41,0.61,565,61,10,Ir,,0.0
And XIII,,12.96249999,33.0044444,0.84,13.78,18.2,1.3,0.75,-195,52,-3,Sph,,0.0
Bol520,,12.67666664,32.9163888,0.63,13.31,16.28,0.2,0.89,-312,33,-3,dE,,0.0
And XI,,11.58333332,33.8013889,0.73,14.08,18.5,1.1,0.85,-419,39,-3,Sph,,0.0
And XII,,11.86249999,34.3747222,0.83,14.15,18.7,1.9,0.9,-556,31,-3,Sph,,0.0
And III,,8.89083331,36.4977777,0.75,11.01,15.2,3.63,0.48,-346,90,-3,Sph,,0.0
And I,,11.41666664,38.0372222,0.73,9.59,13.9,2.88,0.78,-376,48,-3,Sph,,0.0
And IV,,10.62541665,40.5758333,6.31,14.54,17.18,1.0,0.77,237,45,10,Ir,,0.0
MESSIER032,M32,10.67541665,40.86638885,0.49,5.1,8.89,8.91,0.71,-202,53,-2,dEem,,0.0
And XV,,18.57791663,38.1174999,0.76,11.62,15.9,1.9,0.85,-323,39,-3,Sph,,0.0
And IX,,13.21999999,43.19999996,0.79,12.3,16.7,4.0,0.75,-216,52,-3,Sph,,0.0
And X,,16.64041663,44.80444435,0.63,12.1,16.7,2.1,0.56,-164,79,-3,Sph,,0.0
Andromeda,M31,10.69,41.27,0.778,0.99,4.29,190.55,0.33,-296,78,3," ",M31.png,2.12e4
NGC0205,,10.09374998,41.68638885,0.82,5.59,8.72,19.5,0.61,-221,64,-2,dE,,0.0
UGC00288,,7.2,43.4316666,6.73,12.99,15.64,1.07,0.62,187,60,10,Ir,,0.0
UGC00064,,1.91,40.8755555,9.6,12.84,15.5,1.66,0.56,305,66,10,Ir,,0.0
And XVIII,,0.560416666,45.0888888,1.36,12.49,17.0,1.4,0.99,-332,10,-3,Sph,,0.0
And XVII,,9.27916665,44.32222216,0.74,13.31,17.7,1.9,0.8,-251,43,-2,Sph,,0.0
And XXVII,,9.36291665,45.3869444,0.83,13.19,17.6,2.8,0.6,-535,71,-3,Sph,,0.0
And XXV,,7.537083325,46.85194435,0.81,11.42,15.9,4.8,0.75,-108,52,-3,Sph,,0.0
NGC0185,,9.74166665,48.336111,0.61,6.56,9.99,12.3,0.85,-203,39,-3,dE,,0.0
NGC0147,,8.29833332,48.5077777,0.76,7.2,10.36,13.49,0.61,-193,70,-3,Sph,,0.0
And XXX,,9.14541666,49.6466666,0.68,,,,,-141,,," ",,0.0
And XXVI,,5.939999995,47.9161111,0.76,13.88,18.4,1.6,0.75,-261,52,-3,Sph,,0.0
And XXIV,,19.62499996,46.366111,0.6,12.78,17.2,3.3,0.75,-128,52,-3,Sph,,0.0
And V,,17.57125,47.6280555,0.81,11.33,15.92,2.4,0.82,-403,43,-3,Sph,,0.0
KKH5,,16.88541664,51.4402777,4.27,13.63,17.1,0.87,0.62,61,60,10,Ir,,0.0
KKH6,,23.71499996,52.0916666,3.73,13.73,17.0,0.87,0.6,60,62,10,Ir,,0.0
IC0010,,5.10208333,59.2916666,0.66,6.51,11.78,6.76,0.87,-346,33,10,Ir,,0.0
KKH11,,36.1458333,56.01166656,3.0,11.74,16.2,1.66,0.54,296,68,10,Ir,,0.0
KKH12,,36.8625,57.4877777,3.0,11.79,17.8,1.7,0.29,70,90,10,Ir,,0.0
MB3,,43.9316666,58.8616666,3.0,10.93,19.38,1.58,0.31,59,90,10,Ir,,0.0
Dw1,,44.2337499,58.9116666,2.8,5.17,15.01,2.0,0.65,112,52,3," ",,0.0
Dw2,,43.5354166,59.0052777,3.0,10.22,17.97,1.0,0.4,94,90,10,Ir,,0.0
Maffei2,,40.47708326,59.6030555,2.8,4.5,14.77,3.8,0.5,-15,63,4," ",,0.0
MB1,,38.89833326,59.3797221,3.0,10.46,17.8,1.07,0.42,190,87,10,Ir,,0.0
Maffei1,,39.1479166,59.65499994,3.01,5.55,13.47,2.69,0.85,66,39,-3," ",,0.0
UGCA092,,68.0012498,63.6138888,3.01,11.0,15.22,2.0,0.5,-95,72,10,Ir,,0.0
NGC1569,,67.7045832,64.8480555,3.06,7.5,11.79,3.98,0.51,-86,60,8," ",,0.0
CamB,,73.2787499,67.0991666,3.34,13.36,16.71,1.48,0.5,78,72,10,Ir,,0.0
UGCA086,,59.9562499,67.1252777,2.96,8.17,13.5,4.47,0.69,72,47,8," ",,0.0
KK35,,56.30249995,67.8638888,3.16,11.06,15.7,2.51,0.68,-66,54,10,Ir,,0.0
IC0342,,56.7037499,68.0958332,3.28,4.57,9.37,21.38,0.91,29,25,6," ",,0.0
KKH34,,89.9216665,73.4275,4.61,13.76,17.1,0.93,0.56,106,66,10,Ir,,0.0
NGC1560,,68.2079166,71.881111,3.45,9.26,12.11,9.77,0.15,-36,90,7," ",,0.0
CamA,,66.315,72.8058333,3.93,11.64,14.84,3.72,0.57,-54,65,10,Ir,,0.0
Cas1,,31.5329166,69.0099999,3.3,9.34,15.29,2.19,0.77,35,45,10,Ir,,0.0
KKH22,,56.23583325,72.0644443,3.5,14.13,18.0,1.05,0.52,,70,10,Tr,,0.0
